date,dynamic_top50_lgbm,market_benchmark,frozen_current_top50,dynamic_top50_lgbm_drawdown,market_benchmark_drawdown,frozen_current_top50_drawdown
2024-09-23,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000
2024-09-24,1.0000000000,1.0063328812,1.0000000000,0.0000000000,0.0000000000,0.0000000000
2024-09-25,1.0395314188,1.0481362013,1.0490066307,0.0000000000,0.0000000000,0.0000000000
2024-09-26,1.0388338990,1.0494637099,1.0657796378,-0.0006709944,0.0000000000,0.0000000000
2024-09-27,1.0990662398,1.1054548475,1.1456926073,0.0000000000,0.0000000000,0.0000000000
2024-09-30,1.1864144826,1.1970763978,1.1585171675,0.0000000000,0.0000000000,0.0000000000
2024-10-08,1.4952652628,1.4605908909,1.3247626980,0.0000000000,0.0000000000,0.0000000000
2024-10-09,1.3805966889,1.3571124500,1.2220211489,-0.0766877803,-0.0708469713,-0.0775546815
2024-10-10,1.2938543550,1.2792903999,1.1628659877,-0.1346991152,-0.1241281813,-0.1222080834
2024-10-11,1.2669502285,1.2628079729,1.1872222563,-0.1526919938,-0.1354129478,-0.1038227011
2024-10-14,1.2170440019,1.2243591551,1.1835797654,-0.1860681631,-0.1617371006,-0.1065722433
2024-10-15,1.2235106621,1.2516480334,1.1967923522,-0.1817434053,-0.1430536496,-0.0965986935
2024-10-16,1.1805878858,1.2213092024,1.1603594520,-0.2104491991,-0.1638252641,-0.1241001473
2024-10-17,1.1943827048,1.2530130168,1.1846127979,-0.2012235323,-0.1421191077,-0.1057924565
2024-10-18,1.1670327882,1.2382712069,1.1642723572,-0.2195145455,-0.1522121529,-0.1211464823
2024-10-21,1.2054307107,1.2966648623,1.1862890530,-0.1938348728,-0.1122326790,-0.1045271316
2024-10-22,1.2072390381,1.3190189809,1.1733987049,-0.1926255039,-0.0969278330,-0.1142574390
2024-10-23,1.2418685190,1.3269869894,1.1849074482,-0.1694660808,-0.0914725008,-0.1055700391
2024-10-24,1.2404052620,1.3312278487,1.1814306533,-0.1704446744,-0.0885689778,-0.1081945052
2024-10-25,1.2515387891,1.3413543958,1.1748546476,-0.1629988202,-0.0816357926,-0.1131584174
2024-10-28,1.2611012228,1.3705182380,1.1756444554,-0.1566036782,-0.0616686394,-0.1125622293
2024-10-29,1.2852947391,1.4095965451,1.1777726564,-0.1404235950,-0.0349135040,-0.1109557521
2024-10-30,1.2449231556,1.3727114914,1.1681441341,-0.1674232080,-0.0601670187,-0.1182238631
2024-10-31,1.2421514444,1.3830263354,1.1521187367,-0.1692768666,-0.0531049153,-0.1303206692
2024-11-01,1.2360723486,1.3967291732,1.1465745700,-0.1733424300,-0.0437232069,-0.1345056955
2024-11-04,1.2620805746,1.3529047223,1.1604302346,-0.1559487096,-0.0737278106,-0.1240467169
2024-11-05,1.2835191879,1.3888796760,1.1608961226,-0.1416110440,-0.0490973998,-0.1236950403
2024-11-06,1.3184140084,1.4409342903,1.1713894347,-0.1182741676,-0.0134579784,-0.1157741409
2024-11-07,1.3413056015,1.4407037637,1.1607208804,-0.1029647817,-0.0136158094,-0.1238273223
2024-11-08,1.3514262805,1.5002626269,1.1902562018,-0.0961962977,0.0000000000,-0.1015325208
2024-11-11,1.3242765024,1.4839279662,1.1672032556,-0.1143534626,-0.0108878675,-0.1189340873
2024-11-12,1.3195235287,1.5247533385,1.1558133675,-0.1175321453,0.0000000000,-0.1275317690
2024-11-13,1.3047696561,1.4981534452,1.1430156979,-0.1273992056,-0.0174453747,-0.1371921178
2024-11-14,1.3260505828,1.5068841627,1.1655920767,-0.1131669973,-0.0117193879,-0.1201502892
2024-11-15,1.3349479356,1.4598230173,1.1628945860,-0.1072166466,-0.0425841476,-0.1221864959
2024-11-18,1.3719134829,1.4461889152,1.1752509876,-0.0824949144,-0.0515259887,-0.1128592393
2024-11-19,1.3753766336,1.4070276912,1.1828301365,-0.0801788366,-0.0772096340,-0.1071381023
2024-11-20,1.3460754817,1.4360417831,1.1788474870,-0.0997747923,-0.0581809222,-0.1101444139
2024-11-21,1.3700626904,1.4715803346,1.1785061291,-0.0837326831,-0.0348731841,-0.1104020887
2024-11-22,1.3684638166,1.4781783814,1.1888354618,-0.0848019742,-0.0305458961,-0.1026049694
2024-11-25,1.3180557847,1.4310934018,1.1609080143,-0.1185137397,-0.0614262874,-0.1236860639
2024-11-26,1.3245123107,1.4447891836,1.1463438968,-0.1141957593,-0.0524439940,-0.1346798196
2024-11-27,1.3169051451,1.4231809587,1.1547009783,-0.1192832617,-0.0666156140,-0.1283714585
2024-11-28,1.3303103482,1.4581861413,1.1680192392,-0.1103181614,-0.0436576826,-0.1183181403
2024-11-29,1.3214804388,1.4579482184,1.1682963447,-0.1162234075,-0.0438137228,-0.1181089666
2024-12-02,1.3225497843,1.4871864486,1.1641429447,-0.1155082532,-0.0246380113,-0.1212441696
2024-12-03,1.3357500918,1.5208641599,1.1642870889,-0.1066801824,-0.0025506936,-0.1211353621
2024-12-04,1.3619702889,1.5198717124,1.1826693096,-0.0891447004,-0.0032015841,-0.1072595029
2024-12-05,1.3634749084,1.4952693495,1.1886628946,-0.0881384445,-0.0193368910,-0.1027352322
2024-12-06,1.3547803647,1.5226260229,1.1872855863,-0.0939531611,-0.0013951867,-0.1037748964
2024-12-09,1.3691784480,1.5339695686,1.1951975394,-0.0843240446,0.0000000000,-0.0978025414
2024-12-10,1.3908832086,1.5742068501,1.2128523502,-0.0698083857,0.0000000000,-0.0844757691
2024-12-11,1.3656644291,1.5349329468,1.2077929983,-0.0866741420,-0.0249483753,-0.0882948318
2024-12-12,1.3688546322,1.5595545540,1.1946644105,-0.0845406054,-0.0093077324,-0.0982049748
2024-12-13,1.3705389399,1.5663394831,1.2046453269,-0.0834141781,-0.0049976704,-0.0906708584
2024-12-16,1.3545012388,1.5493784531,1.2008107020,-0.0941398342,-0.0157720042,-0.0935654334
2024-12-17,1.3745926204,1.5349249996,1.2265978923,-0.0807031672,-0.0249534237,-0.0740999168
2024-12-18,1.3687193040,1.4847752006,1.2321121205,-0.0846311099,-0.0568106088,-0.0699374896
2024-12-19,1.3666831220,1.4743941285,1.2312905035,-0.0859928629,-0.0634050865,-0.0705576890
2024-12-20,1.3568936185,1.4903673605,1.2242329704,-0.0925398641,-0.0532582421,-0.0758850832
2024-12-23,1.3433822872,1.5064711917,1.2236930207,-0.1015759406,-0.0430284358,-0.0762926654
