code,entry_date,exit_date,selection_periods,entry_rank,exit_rank
000002,2025-01-07,2025-01-20,2025-01-07,5,5
000009,2025-04-10,2025-04-23,2025-04-10,50,50
000011,2025-01-21,2025-02-11,2025-01-21,26,26
000011,2026-01-19,2026-02-13,"2026-01-19,2026-02-02",24,35
000014,2026-01-19,2026-02-13,"2026-01-19,2026-02-02",26,7
000014,2026-06-23,2026-07-06,2026-06-23,28,28
000017,2026-03-24,2026-04-07,2026-03-24,43,43
000020,2026-06-23,2026-07-06,2026-06-23,6,6
000025,2025-01-21,2025-02-11,2025-01-21,13,13
000026,2025-11-20,2025-12-03,2025-11-20,22,22
000027,2026-01-19,2026-01-30,2026-01-19,36,36
000028,2025-03-26,2025-04-09,2025-03-26,31,31
000035,2026-06-23,2026-07-06,2026-06-23,47,47
000035,2026-07-21,2026-08-03,2026-07-21,44,44
000037,2024-09-05,2024-09-20,2024-09-05,1,1
000037,2025-10-09,2025-10-22,2025-10-09,2,2
000039,2025-06-25,2025-07-08,2025-06-25,23,23
000045,2026-01-19,2026-01-30,2026-01-19,8,8
000049,2025-05-27,2025-06-10,2025-05-27,17,17
000050,2026-09-15,2026-09-18,2026-09-15,1,1
000056,2025-06-25,2025-07-08,2025-06-25,33,33
000059,2025-01-21,2025-02-11,2025-01-21,46,46
000061,2025-07-09,2025-07-22,2025-07-09,25,25
000061,2026-05-11,2026-05-22,2026-05-11,39,39
000062,2025-01-21,2025-02-11,2025-01-21,15,15
000063,2025-04-24,2025-06-10,"2025-04-24,2025-05-13,2025-05-27",12,2
000065,2024-07-25,2024-08-07,2024-07-25,46,46
000066,2025-07-09,2025-07-22,2025-07-09,44,44
000066,2026-01-05,2026-01-16,2026-01-05,28,28
000068,2026-02-02,2026-02-13,2026-02-02,46,46
000096,2025-07-23,2025-09-30,"2025-07-23,2025-08-06,2025-08-20,2025-09-03,2025-09-17",27,28
000096,2026-06-08,2026-06-22,2026-06-08,16,16
000100,2025-03-26,2025-05-12,"2025-03-26,2025-04-10,2025-04-24",36,44
000151,2025-08-20,2025-09-02,2025-08-20,17,17
000151,2026-09-01,2026-09-14,2026-09-01,26,26
000155,2025-06-25,2025-07-08,2025-06-25,11,11
000156,2025-05-13,2025-05-26,2025-05-13,23,23
000156,2025-06-11,2025-06-24,2025-06-11,23,23
000158,2026-02-24,2026-03-09,2026-02-24,5,5
000159,2025-02-12,2025-03-25,"2025-02-12,2025-02-26,2025-03-12",17,17
000400,2024-10-14,2024-10-25,2024-10-14,27,27
000400,2025-06-25,2025-07-08,2025-06-25,36,36
000401,2026-05-25,2026-06-05,2026-05-25,36,36
000401,2026-07-07,2026-07-20,2026-07-07,21,21
000402,2025-03-12,2025-04-23,"2025-03-12,2025-03-26,2025-04-10",49,31
000402,2026-01-19,2026-01-30,2026-01-19,18,18
000403,2024-12-09,2024-12-20,2024-12-09,3,3
000403,2025-11-06,2025-11-19,2025-11-06,17,17
000403,2026-02-24,2026-03-09,2026-02-24,24,24
000409,2025-11-06,2025-11-19,2025-11-06,5,5
000410,2025-06-25,2025-07-08,2025-06-25,27,27
000417,2025-07-23,2025-08-05,2025-07-23,26,26
000422,2025-02-26,2025-03-11,2025-02-26,20,20
000429,2024-11-25,2024-12-06,2024-11-25,11,11
000429,2025-08-20,2025-09-16,"2025-08-20,2025-09-03",3,5
000488,2025-04-24,2025-05-12,2025-04-24,47,47
000501,2025-07-09,2025-07-22,2025-07-09,1,1
000501,2026-04-22,2026-05-22,"2026-04-22,2026-05-11",11,18
000503,2025-01-21,2025-02-11,2025-01-21,30,30
000507,2025-03-12,2025-03-25,2025-03-12,22,22
000513,2025-10-23,2025-11-05,2025-10-23,28,28
000516,2025-05-27,2025-06-10,2025-05-27,38,38
000516,2025-11-06,2025-11-19,2025-11-06,45,45
000517,2025-03-26,2025-04-09,2025-03-26,25,25
000517,2026-01-19,2026-01-30,2026-01-19,37,37
000520,2025-09-17,2025-09-30,2025-09-17,15,15
000523,2025-07-23,2025-08-05,2025-07-23,44,44
000524,2026-06-08,2026-06-22,2026-06-08,38,38
000525,2025-02-26,2025-03-11,2025-02-26,49,49
000525,2025-09-03,2025-09-16,2025-09-03,48,48
000525,2026-06-08,2026-06-22,2026-06-08,37,37
000528,2025-06-11,2025-06-24,2025-06-11,40,40
000529,2024-08-08,2024-08-21,2024-08-08,48,48
000533,2026-07-21,2026-08-03,2026-07-21,31,31
000537,2024-09-05,2024-09-20,2024-09-05,5,5
000538,2024-12-09,2024-12-20,2024-12-09,44,44
000539,2024-08-22,2024-09-20,"2024-08-22,2024-09-05",2,30
000541,2025-06-25,2025-07-08,2025-06-25,1,1
000543,2024-11-11,2024-12-20,"2024-11-11,2024-11-25,2024-12-09",37,19
000546,2025-02-26,2025-03-11,2025-02-26,32,32
000546,2026-08-04,2026-08-17,2026-08-04,8,8
000547,2025-02-12,2025-02-25,2025-02-12,24,24
000548,2025-02-26,2025-03-11,2025-02-26,2,2
000550,2025-01-07,2025-01-20,2025-01-07,8,8
000552,2024-09-05,2024-09-20,2024-09-05,48,48
000552,2025-03-12,2025-03-25,2025-03-12,31,31
000552,2026-01-19,2026-01-30,2026-01-19,21,21
000553,2024-08-08,2024-09-04,"2024-08-08,2024-08-22",5,27
000555,2024-08-08,2024-09-04,"2024-08-08,2024-08-22",29,50
000557,2025-02-12,2025-02-25,2025-02-12,2,2
000559,2025-08-06,2025-08-19,2025-08-06,29,29
000565,2025-08-20,2025-09-16,"2025-08-20,2025-09-03",48,40
000566,2026-05-25,2026-06-22,"2026-05-25,2026-06-08",31,41
000567,2025-04-10,2025-04-23,2025-04-10,35,35
000567,2026-02-02,2026-03-09,"2026-02-02,2026-02-24",41,13
000572,2024-10-28,2024-11-08,2024-10-28,37,37
000572,2026-05-11,2026-06-05,"2026-05-11,2026-05-25",48,30
000572,2026-06-23,2026-07-06,2026-06-23,23,23
