universe_mode,signal_date,execution_date,target_k,target_exposure,holdings,dropped,mean_expected_return,mean_downside_probability
dynamic_historical_top50,2024-09-23,2024-09-24,5,1.0,"['301279', '301580', '301539', '603381', '301519']",[],0.0,0.0
dynamic_historical_top50,2024-10-14,2024-10-15,5,1.0,"['603285', '603665', '603320', '600011', '002552']","['301279', '301580', '301539', '603381', '301519']",0.0,0.0
dynamic_historical_top50,2024-10-28,2024-10-29,5,1.0,"['603665', '600011', '601985', '003816', '603363']","['603285', '603320', '002552']",0.0,0.0
dynamic_historical_top50,2024-11-11,2024-11-12,5,1.0,"['600011', '601985', '003816', '600025', '000880']","['603665', '603363']",0.0,0.0
dynamic_historical_top50,2024-11-25,2024-11-26,5,1.0,"['600011', '601985', '003816', '600025', '002039']",['000880'],0.0,0.0
dynamic_historical_top50,2024-12-09,2024-12-10,5,1.0,"['600011', '003816', '600025', '002039', '000403']",['601985'],0.0,0.0
dynamic_historical_top50,2024-12-23,2024-12-24,5,1.0,"['600011', '003816', '002039', '600988', '600547']","['600025', '000403']",0.0,0.0
dynamic_historical_top50,2025-01-07,2025-01-08,5,1.0,"['600988', '001279', '301618', '000617', '000002']","['600011', '003816', '002039', '600547']",0.0,0.0
dynamic_historical_top50,2025-01-21,2025-01-22,5,1.0,"['001279', '000617', '301281', '300489', '300320']","['600988', '301618', '000002']",0.0,0.0
dynamic_historical_top50,2025-02-12,2025-02-13,5,1.0,"['001279', '301281', '300320', '600210', '603205']","['000617', '300489']",0.0,0.0
dynamic_historical_top50,2025-02-26,2025-02-27,5,1.0,"['002469', '000605', '603318', '600800', '600479']","['001279', '301281', '300320', '600210', '603205']",0.0,0.0
dynamic_historical_top50,2025-03-12,2025-03-13,5,1.0,"['603318', '600800', '600479', '603669', '300165']","['002469', '000605']",0.0,0.0
dynamic_historical_top50,2025-03-26,2025-03-27,5,1.0,"['600793', '600088', '000802', '001330', '600157']","['603318', '600800', '600479', '603669', '300165']",0.0,0.0
dynamic_historical_top50,2025-04-10,2025-04-11,5,1.0,"['000802', '002449', '000669', '002269', '600743']","['600793', '600088', '001330', '600157']",0.0,0.0
dynamic_historical_top50,2025-04-24,2025-04-25,5,1.0,"['002449', '002265', '002636', '002130', '002917']","['000802', '000669', '002269', '600743']",0.0,0.0
dynamic_historical_top50,2025-05-13,2025-05-14,5,1.0,"['002449', '600120', '688078', '688620', '603803']","['002265', '002636', '002130', '002917']",0.0,0.0
dynamic_historical_top50,2025-05-27,2025-05-28,5,1.0,"['603956', '688449', '600845', '688516', '300814']","['002449', '600120', '688078', '688620', '603803']",0.0,0.0
dynamic_historical_top50,2025-06-11,2025-06-12,5,1.0,"['600845', '603929', '600718', '000785', '002518']","['603956', '688449', '688516', '300814']",0.0,0.0
dynamic_historical_top50,2025-06-25,2025-06-26,5,1.0,"['600718', '000785', '000541', '601608', '002204']","['600845', '603929', '002518']",0.0,0.0
dynamic_historical_top50,2025-07-09,2025-07-10,5,1.0,"['600598', '601933', '002458', '000501', '002041']","['600718', '000785', '000541', '601608', '002204']",0.0,0.0
dynamic_historical_top50,2025-07-23,2025-07-24,5,1.0,"['601933', '603696', '002251', '000096', '600215']","['600598', '002458', '000501', '002041']",0.0,0.0
dynamic_historical_top50,2025-08-06,2025-08-07,5,1.0,"['603696', '000096', '600448', '000559', '603237']","['601933', '002251', '600215']",0.0,0.0
dynamic_historical_top50,2025-08-20,2025-08-21,5,1.0,"['000096', '603237', '000565', '002717', '002431']","['603696', '600448', '000559']",0.0,0.0
dynamic_historical_top50,2025-09-03,2025-09-04,5,1.0,"['000096', '000565', '002717', '002355', '000525']","['603237', '002431']",0.0,0.0
dynamic_historical_top50,2025-09-17,2025-09-18,5,1.0,"['000096', '002355', '300804', '920098', '002221']","['000565', '002717', '000525']",0.0,0.0
dynamic_historical_top50,2025-10-09,2025-10-10,5,1.0,"['300804', '600644', '300180', '002235', '605009']","['000096', '002355', '920098', '002221']",0.0,0.0
dynamic_historical_top50,2025-10-23,2025-10-24,5,1.0,"['002235', '688393', '300348', '601003', '002096']","['300804', '600644', '300180', '605009']",0.0,0.0
dynamic_historical_top50,2025-11-06,2025-11-07,5,1.0,"['301318', '002221', '300245', '002977', '300248']","['002235', '688393', '300348', '601003', '002096']",0.0,0.0
dynamic_historical_top50,2025-11-20,2025-11-21,5,1.0,"['301318', '002148', '920245', '301632', '300046']","['002221', '300245', '002977', '300248']",0.0,0.0
dynamic_historical_top50,2025-12-04,2025-12-05,5,1.0,"['920245', '688108', '600749', '688299', '603579']","['301318', '002148', '301632', '300046']",0.0,0.0
dynamic_historical_top50,2025-12-18,2025-12-19,5,1.0,"['688108', '600749', '688299', '002122', '002148']","['920245', '603579']",0.0,0.0
dynamic_historical_top50,2026-01-05,2026-01-06,5,1.0,"['920627', '002616', '301190', '300904', '603181']","['688108', '600749', '688299', '002122', '002148']",0.0,0.0
dynamic_historical_top50,2026-01-19,2026-01-20,5,1.0,"['600168', '000045', '002481', '600758', '000517']","['920627', '002616', '301190', '300904', '603181']",0.0,0.0
dynamic_historical_top50,2026-02-02,2026-02-03,5,1.0,"['002481', '300173', '002424', '603376', '603508']","['600168', '000045', '600758', '000517']",0.0,0.0
dynamic_historical_top50,2026-02-24,2026-02-25,5,1.0,"['002481', '300173', '920925', '002402', '001390']","['002424', '603376', '603508']",0.0,0.0
dynamic_historical_top50,2026-03-10,2026-03-11,5,1.0,"['002481', '002402', '001390', '603815', '600802']","['300173', '920925']",0.0,0.0
dynamic_historical_top50,2026-03-24,2026-03-25,5,1.0,"['920407', '920278', '920665', '920826', '600882']","['002481', '002402', '001390', '603815', '600802']",0.0,0.0
dynamic_historical_top50,2026-04-08,2026-04-09,5,1.0,"['920826', '002163', '600693', '920533', '600990']","['920407', '920278', '920665', '600882']",0.0,0.0
dynamic_historical_top50,2026-04-22,2026-04-23,5,1.0,"['920826', '002163', '688119', '600198', '002570']","['600693', '920533', '600990']",0.0,0.0
dynamic_historical_top50,2026-05-11,2026-05-12,5,1.0,"['002163', '002570', '002094', '601888', '920087']","['920826', '688119', '600198']",0.0,0.0
dynamic_historical_top50,2026-05-25,2026-05-26,5,1.0,"['002094', '603568', '600782', '605033', '000959']","['002163', '002570', '601888', '920087']",0.0,0.0
dynamic_historical_top50,2026-06-08,2026-06-09,5,1.0,"['600782', '000959', '605599', '601567', '300157']","['002094', '603568', '605033']",0.0,0.0
dynamic_historical_top50,2026-06-23,2026-06-24,5,1.0,"['603105', '000020', '603628', '300389', '603529']","['600782', '000959', '605599', '601567', '300157']",0.0,0.0
dynamic_historical_top50,2026-07-07,2026-07-08,5,1.0,"['603105', '603628', '603529', '300658', '920976']","['000020', '300389']",0.0,0.0
dynamic_historical_top50,2026-07-21,2026-07-22,5,1.0,"['603105', '603628', '001325', '300051', '920106']","['603529', '300658', '920976']",0.0,0.0
dynamic_historical_top50,2026-08-04,2026-08-05,5,1.0,"['300051', '002865', '002565', '300905', '002217']","['603105', '603628', '001325', '920106']",0.0,0.0
dynamic_historical_top50,2026-08-18,2026-08-19,5,1.0,"['002865', '002217', '688737', '300128', '603360']","['300051', '002565', '300905']",0.0,0.0
dynamic_historical_top50,2026-09-01,2026-09-02,5,1.0,"['002217', '688737', '002733', '603135', '605088']","['002865', '300128', '603360']",0.0,0.0
dynamic_historical_top50,2026-09-15,2026-09-16,5,1.0,"['002217', '002733', '603135', '002426', '688411']","['688737', '605088']",0.0,0.0
frozen_current_top50,2024-09-23,2024-09-24,5,1.0,"['601128', '000100', '601997', '601916', '601998']",[],0.0,0.0
frozen_current_top50,2024-10-14,2024-10-15,5,1.0,"['601128', '000100', '601916', '601998', '601985']",['601997'],0.0,0.0
frozen_current_top50,2024-10-28,2024-10-29,5,1.0,"['601128', '601916', '601998', '601985', '601328']",['000100'],0.0,0.0
frozen_current_top50,2024-11-11,2024-11-12,5,1.0,"['601128', '601916', '601985', '601328', '600900']",['601998'],0.0,0.0
frozen_current_top50,2024-11-25,2024-11-26,5,1.0,"['601916', '601985', '601328', '600900', '601398']",['601128'],0.0,0.0
frozen_current_top50,2024-12-09,2024-12-10,5,1.0,"['601985', '601328', '600900', '601398', '601988']",['601916'],0.0,0.0
frozen_current_top50,2024-12-23,2024-12-24,5,1.0,"['601985', '601328', '600900', '601988', '600018']",['601398'],0.0,0.0
frozen_current_top50,2025-01-07,2025-01-08,5,1.0,"['601985', '601328', '600900', '600018', '601997']",['601988'],0.0,0.0
frozen_current_top50,2025-01-21,2025-01-22,5,1.0,"['601985', '600900', '600018', '601997', '601766']",['601328'],0.0,0.0
frozen_current_top50,2025-02-12,2025-02-13,5,1.0,"['601985', '600018', '601997', '601766', '000100']",['600900'],0.0,0.0
frozen_current_top50,2025-02-26,2025-02-27,5,1.0,"['601985', '600018', '601997', '601766', '601916']",['000100'],0.0,0.0
frozen_current_top50,2025-03-12,2025-03-13,5,1.0,"['600018', '601997', '601766', '601916', '601319']",['601985'],0.0,0.0
frozen_current_top50,2025-03-26,2025-03-27,5,1.0,"['601997', '601766', '601916', '601319', '000100']",['600018'],0.0,0.0
frozen_current_top50,2025-04-10,2025-04-11,5,1.0,"['601997', '601766', '601319', '000100', '601985']",['601916'],0.0,0.0
frozen_current_top50,2025-04-24,2025-04-25,5,1.0,"['601997', '601766', '000100', '601985', '600018']",['601319'],0.0,0.0
