selection_date,available_date,code,name,universe_rank,universe_selection_score
2024-07-25,2024-07-25,002116,中国海诚,1,86.26919076346995
2024-07-25,2024-07-25,002544,普天科技,2,86.23008113168297
2024-07-25,2024-07-25,603657,春光科技,3,86.14229249011858
2024-07-25,2024-07-25,002097,山河智能,4,85.5340128978573
2024-07-25,2024-07-25,605198,安德利,5,85.4052423548991
2024-07-25,2024-07-25,603687,大胜达,6,85.03307676305388
2024-07-25,2024-07-25,300729,乐歌股份,7,85.01331391720409
2024-07-25,2024-07-25,603308,应流股份,8,84.72165591845226
2024-07-25,2024-07-25,603017,中衡设计,9,84.48096525899732
2024-07-25,2024-07-25,000801,四川九洲,10,84.28541710006242
2024-07-25,2024-07-25,002030,达安基因,11,84.23320158102769
2024-07-25,2024-07-25,002491,通鼎互联,12,84.20199708758062
2024-07-25,2024-07-25,603344,星德胜,13,84.16725608487623
2024-07-25,2024-07-25,603711,香飘飘,14,83.98418972332018
2024-07-25,2024-07-25,603639,海利尔,15,83.96359475764511
2024-07-25,2024-07-25,600580,卧龙电驱,16,83.71354275015604
2024-07-25,2024-07-25,000717,中南股份,17,83.71011025587686
2024-07-25,2024-07-25,603357,设计总院,18,83.69232369461203
2024-07-25,2024-07-25,603076,乐惠国际,19,83.67214478884961
2024-07-25,2024-07-25,601096,XD宏盛华,20,83.60141460370295
2024-07-25,2024-07-25,002366,融发核电,21,83.494695236114
2024-07-25,2024-07-25,600490,鹏欣资源,22,83.4838776783857
2024-07-25,2024-07-25,301227,森鹰窗业,23,83.14499687955067
2024-07-25,2024-07-25,605050,福然德,24,83.06324110671937
2024-07-25,2024-07-25,600973,宝胜股份,25,82.99001456209695
2024-07-25,2024-07-25,603353,和顺石油,26,82.88059080507595
2024-07-25,2024-07-25,603373,安邦护卫,27,82.8404410235074
2024-07-25,2024-07-25,600257,大湖股份,28,82.72768878718536
2024-07-25,2024-07-25,688606,奥泰生物,29,82.68795506552944
2024-07-25,2024-07-25,002343,慈文传媒,30,82.64073226544623
2024-07-25,2024-07-25,603333,福华尚纬,31,82.58123569794051
2024-07-25,2024-07-25,002167,东方锆业,32,82.54087788641564
2024-07-25,2024-07-25,001308,康冠科技,33,82.4720199708758
2024-07-25,2024-07-25,603518,锦泓集团,34,82.41252340337009
2024-07-25,2024-07-25,688551,科威尔,35,82.40669856459331
2024-07-25,2024-07-25,603215,比依股份,36,82.35406698564593
2024-07-25,2024-07-25,600058,五矿发展,37,82.34532972748076
2024-07-25,2024-07-25,002381,双箭股份,38,82.30393176617434
2024-07-25,2024-07-25,300187,永清环保,39,82.27459954233409
2024-07-25,2024-07-25,603366,日出东方,40,82.26066153526108
2024-07-25,2024-07-25,002803,吉宏股份,41,82.23486582067818
2024-07-25,2024-07-25,688398,赛特新材,42,82.21177449552735
2024-07-25,2024-07-25,605020,永和股份,43,82.18535469107552
2024-07-25,2024-07-25,002614,奥佳华,44,82.14582899937591
2024-07-25,2024-07-25,300073,当升科技,45,82.09423757021011
2024-07-25,2024-07-25,000065,北方国际,46,82.08009153318079
2024-07-25,2024-07-25,603033,三维股份,47,81.99563137091742
