date,high_trend_blend,previous_50_50_blend,risk_focused_90_10,pure_trend_hedge75,formal_lgbm,high_trend_blend_drawdown,previous_50_50_blend_drawdown,risk_focused_90_10_drawdown,pure_trend_hedge75_drawdown,formal_lgbm_drawdown
2020-01-02,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2020-01-03,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2020-01-06,0.9944554875,0.9944554875,0.9944554875,0.9944554875,0.9944554875,-0.0055445125,-0.0055445125,-0.0055445125,-0.0055445125,-0.0055445125
2020-01-07,0.9999999302,0.9999999302,0.9999999302,0.9999999302,0.9999999302,-0.0000000698,-0.0000000698,-0.0000000698,-0.0000000698,-0.0000000698
2020-01-08,0.9936783129,0.9936783129,0.9936783129,0.9936783129,0.9936783129,-0.0063216871,-0.0063216871,-0.0063216871,-0.0063216871,-0.0063216871
2020-01-09,0.9908726163,0.9908726163,0.9908726163,0.9908726163,0.9908726163,-0.0091273837,-0.0091273837,-0.0091273837,-0.0091273837,-0.0091273837
2020-01-10,1.0024977778,1.0024977778,1.0024977778,1.0024977778,1.0024977778,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2020-01-13,0.9944736206,0.9944736206,0.9944736206,0.9944736206,0.9944736206,-0.0080041646,-0.0080041646,-0.0080041646,-0.0080041646,-0.0080041646
2020-01-14,1.0120223335,1.0120223335,1.0120223335,1.0120223335,1.0120223335,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2020-01-15,1.0028858155,1.0028858155,1.0028858155,1.0028858155,1.0028858155,-0.0090279806,-0.0090279806,-0.0090279806,-0.0090279806,-0.0090279806
2020-01-16,1.0056011483,1.0056011483,1.0056011483,1.0056011483,1.0056011483,-0.0063449046,-0.0063449046,-0.0063449046,-0.0063449046,-0.0063449046
2020-01-17,0.9997116733,0.9997116733,0.9997116733,0.9997116733,0.9997116733,-0.0121644155,-0.0121644155,-0.0121644155,-0.0121644155,-0.0121644155
2020-01-20,1.0051708456,1.0051708456,1.0051708456,1.0051708456,1.0051708456,-0.0067700956,-0.0067700956,-0.0067700956,-0.0067700956,-0.0067700956
