date,base_return,risk_exposure,exposure_turnover,overlay_cost,managed_return,managed_equity,base_equity
2020-01-02,0.0000000000,1.0000000000,1.0000000000,0.0012000000,-0.0012000000,0.9988000000,1.0000000000
2020-01-03,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.9988000000,1.0000000000
2020-01-06,-0.0055445125,1.0000000000,0.0000000000,0.0000000000,-0.0055445125,0.9932621409,0.9944554875
2020-01-07,0.0055753553,1.0000000000,0.0000000000,0.0000000000,0.0055753553,0.9987999303,0.9999999302
2020-01-08,-0.0063216177,1.0000000000,0.0000000000,0.0000000000,-0.0063216177,0.9924858989,0.9936783129
2020-01-09,-0.0028235462,1.0000000000,0.0000000000,0.0000000000,-0.0028235462,0.9896835692,0.9908726163
2020-01-10,0.0117322462,1.0000000000,0.0000000000,0.0000000000,0.0117322462,1.0012947805,1.0024977778
2020-01-13,-0.0080041646,1.0000000000,0.0000000000,0.0000000000,-0.0080041646,0.9932802523,0.9944736206
2020-01-14,0.0176462327,1.0000000000,0.0000000000,0.0000000000,0.0176462327,1.0108079067,1.0120223335
2020-01-15,-0.0090279806,1.0000000000,0.0000000000,0.0000000000,-0.0090279806,1.0016823525,1.0028858155
2020-01-16,0.0027075194,1.0000000000,0.0000000000,0.0000000000,0.0027075194,1.0043944269,1.0056011483
2020-01-17,-0.0058566709,1.0000000000,0.0000000000,0.0000000000,-0.0058566709,0.9985120193,0.9997116733
2020-01-20,0.0054607468,1.0000000000,0.0000000000,0.0000000000,0.0054607468,1.0039646406,1.0051708456
2020-01-21,0.0038257260,1.0000000000,0.0000000000,0.0000000000,0.0038257260,1.0078055342,1.0090163538
2020-01-22,-0.0265590136,1.0000000000,0.0000000000,0.0000000000,-0.0265590136,0.9810392133,0.9822178747
2020-01-23,-0.0011009856,1.0000000000,0.0000000000,0.0000000000,-0.0011009856,0.9799591032,0.9811364670
2020-02-03,-0.1310316817,1.0000000000,0.0000000000,0.0000000000,-0.1310316817,0.8515534140,0.8525765058
2020-02-04,-0.0014185165,1.0000000000,0.0000000000,0.0000000000,-0.0014185165,0.8503454715,0.8513671120
2020-02-05,0.0479667339,1.0000000000,0.0000000000,0.0000000000,0.0479667339,0.8911337664,0.8922044117
2020-02-06,0.0182136313,1.0000000000,0.0000000000,0.0000000000,0.0182136313,0.9073645483,0.9084546939
2020-02-07,0.0015454587,1.0000000000,0.0000000000,0.0000000000,0.0015454587,0.9087668427,0.9098586731
2020-02-10,-0.0036613643,1.0000000000,0.0000000000,0.0000000000,-0.0036613643,0.9054395162,0.9065273490
2020-02-11,0.0305490265,1.0000000000,0.0000000000,0.0000000000,0.0305490265,0.9330998119,0.9342208770
2020-02-12,-0.0056703639,1.0000000000,0.0000000000,0.0000000000,-0.0056703639,0.9278087965,0.9289235047
2020-02-13,0.0171439696,1.0000000000,0.0000000000,0.0000000000,0.0171439696,0.9437151223,0.9448489410
2020-02-14,-0.0077780713,1.0000000000,0.0000000000,0.0000000000,-0.0077780713,0.9363748388,0.9374998386
2020-02-17,0.0051087605,1.0000000000,0.0000000000,0.0000000000,0.0051087605,0.9411585535,0.9422893007
2020-02-18,0.0254387231,1.0000000000,0.0000000000,0.0000000000,0.0254387231,0.9651004254,0.9662599373
2020-02-19,-0.0043074243,1.0000000000,0.0000000000,0.0000000000,-0.0043074243,0.9609433284,0.9620978458
2020-02-20,0.0046274363,1.0000000000,0.0000000000,0.0000000000,0.0046274363,0.9653900324,0.9665498923
2020-02-21,0.0204520796,0.6500000000,0.3500000000,0.0004200000,0.0128738517,0.9778183206,0.9863178476
2020-02-24,-0.0054194472,0.6500000000,0.0000000000,0.0000000000,-0.0035226407,0.9743738180,0.9809725501
2020-02-25,-0.0242445849,0.6500000000,0.0000000000,0.0000000000,-0.0157589802,0.9590186803,0.9571892778
2020-02-26,-0.0094162206,0.6500000000,0.0000000000,0.0000000000,-0.0061205434,0.9531489648,0.9481761724
2020-02-27,0.0069566242,0.6500000000,0.0000000000,0.0000000000,0.0045218057,0.9574589193,0.9547722777
2020-02-28,-0.0176044729,0.6500000000,0.0000000000,0.0000000000,-0.0114429074,0.9465028055,0.9379640150
2020-03-02,-0.0174221871,0.6500000000,0.0000000000,0.0000000000,-0.0113244216,0.9357842087,0.9216226304
2020-03-03,0.0285736483,0.6500000000,0.0000000000,0.0000000000,0.0185728714,0.9531644084,0.9479567513
2020-03-04,-0.0133042738,0.6500000000,0.0000000000,0.0000000000,-0.0086477780,0.9449216542,0.9353448751
2020-03-05,0.0135337973,0.6500000000,0.0000000000,0.0000000000,0.0087969682,0.9532341000,0.9480036430
2020-03-06,0.0078683339,0.6500000000,0.0000000000,0.0000000000,0.0051144170,0.9581093367,0.9554628522
2020-03-09,-0.0273376914,0.6500000000,0.0000000000,0.0000000000,-0.0177694994,0.9410842134,0.9293427036
2020-03-10,-0.0234053109,0.6500000000,0.0000000000,0.0000000000,-0.0152134521,0.9267670738,0.9075911487
2020-03-11,0.0259924332,0.6500000000,0.0000000000,0.0000000000,0.0168950816,0.9424248791,0.9311816510
2020-03-12,-0.0170196609,0.6500000000,0.0000000000,0.0000000000,-0.0110627796,0.9319990404,0.9153332551
2020-03-13,-0.0376459823,0.6500000000,0.0000000000,0.0000000000,-0.0244698885,0.9091931279,0.8808746356
